"","town","townUK","latuk","lonuk","lat","lon","geom"
"688","Haifa","London Borough of Hackney",51.5333,-0.0833,32.8167,34.9833,"LINESTRING (-0.0833 51.5333, 34.9833 32.8167)"
"704","Hakusan, Ishikawa","Boston, Lincolnshire",52.9746,-0.0214,36.5167,136.5667,"LINESTRING (-0.0214 52.9746, 136.5667 36.5167)"
"707","Haltern","Rochford",51.5821,0.7065,51.75,7.1833,"LINESTRING (0.7065 51.5821, 7.1833 51.75)"
"708","Hamburg","City of London",51.5155,-0.0922,53.5653,10.0014,"LINESTRING (-0.0922 51.5155, 10.0014 53.5653)"
"709","Hamelin","Torquay",50.4792,-3.5305,52.1,9.3667,"LINESTRING (-3.5305 50.4792, 9.3667 52.1)"
"710","Hamm","Shipley, West Yorkshire",53.833,-1.777,51.6833,7.8167,"LINESTRING (-1.777 53.833, 7.8167 51.6833)"
"712","Hamminkeln","Sedgefield",54.65,-1.45,51.7319,6.5908,"LINESTRING (-1.45 54.65, 6.5908 51.7319)"
"713","Hangzhou","City of Leeds",53.7997,-1.5492,30.25,120.1667,"LINESTRING (-1.5492 53.7997, 120.1667 30.25)"
"714","Hanover","Bristol",51.45,-2.5833,52.3667,9.7167,"LINESTRING (-2.5833 51.45, 9.7167 52.3667)"
"715","Harare","Nottingham",52.95,-1.1333,-17.8639,31.0297,"LINESTRING (-1.1333 52.95, 31.0297 -17.8639)"
"716","Hartford, Connecticut","Hertford",51.795,-0.078,41.7627,-72.6743,"LINESTRING (-0.078 51.795, -72.6743 41.7627)"
"717","Haverhill, Massachusetts","Haverhill, Suffolk",52.08,0.44,42.7833,-71.0833,"LINESTRING (0.44 52.08, -71.0833 42.7833)"
"718","Haworth, New Jersey","Haworth",53.83,-1.96,40.9617,-73.9974,"LINESTRING (-1.96 53.83, -73.9974 40.9617)"
"719","Hazebrouck","Faversham",51.3177,0.8928,50.725,2.5392,"LINESTRING (0.8928 51.3177, 2.5392 50.725)"
"720","Hédé","Wortham, Suffolk",52.35,1.05,48.2953,-1.8014,"LINESTRING (1.05 52.35, -1.8014 48.2953)"
"722","Hefei","Belfast",54.597,-5.93,31.8667,117.2833,"LINESTRING (-5.93 54.597, 117.2833 31.8667)"
"723","Heidelberg","Cambridge",52.205,0.119,49.4167,8.7167,"LINESTRING (0.119 52.205, 8.7167 49.4167)"
"724","Heidenheim an der Brenz","Newport, Wales",51.5833,-3,48.6761,10.1544,"LINESTRING (-3 51.5833, 10.1544 48.6761)"
"725","Heilbronn","Stockport",53.4083,-2.1494,49.15,9.2167,"LINESTRING (-2.1494 53.4083, 9.2167 49.15)"
"727","Heilbronn","Port Talbot",51.5906,-3.7986,49.15,9.2167,"LINESTRING (-3.7986 51.5906, 9.2167 49.15)"
"733","Heiligenhaus","Basildon",51.5761,0.4886,51.3167,6.9667,"LINESTRING (0.4886 51.5761, 6.9667 51.3167)"
"737","Heiligenhaus","Mansfield",53.1435,-1.1963,51.3167,6.9667,"LINESTRING (-1.1963 53.1435, 6.9667 51.3167)"
"741","Hellevoetsluis","Torquay",50.4792,-3.5305,51.8167,4.1333,"LINESTRING (-3.5305 50.4792, 4.1333 51.8167)"
