"","town","townUK","latuk","lonuk","lat","lon","geom"
"978","Les Herbiers","Newtown, Powys",52.5132,-3.3141,46.87,-1.01,"LINESTRING (-3.3141 52.5132, -1.01 46.87)"
"979","Lesneven","Carmarthen",51.856,-4.316,48.5722,-4.3147,"LINESTRING (-4.316 51.856, -4.3147 48.5722)"
"980","Les Pieux","Lytchett Matravers",50.756,-2.07,49.5139,-1.8067,"LINESTRING (-2.07 50.756, -1.8067 49.5139)"
"983","Les Ulis","Thetford",52.41,0.74,48.6822,2.1698,"LINESTRING (0.74 52.41, 2.1698 48.6822)"
"985","Le Vaudreuil","Comberton",52.1876,0.024,49.2569,1.2067,"LINESTRING (0.024 52.1876, 1.2067 49.2569)"
"986","Leverkusen","Bracknell Forest",51.417,-0.7469,51.0333,6.9833,"LINESTRING (-0.7469 51.417, 6.9833 51.0333)"
"988","Lexington, Kentucky","Newmarket, Suffolk",52.2459,0.4105,38.0297,-84.4947,"LINESTRING (0.4105 52.2459, -84.4947 38.0297)"
"998","Licciana Nardi","Somerton",51.0535,-2.7361,44.2667,10.0333,"LINESTRING (-2.7361 51.0535, 10.0333 44.2667)"
"999","Lidice","Coventry",52.4081,-1.5106,50.1444,14.2003,"LINESTRING (-1.5106 52.4081, 14.2003 50.1444)"
"1000","Liederbach am Taunus","Verwood",50.8817,-1.88,50.1167,8.5,"LINESTRING (-1.88 50.8817, 8.5 50.1167)"
"1001","Liffré","Wendover",51.768,-0.7463,48.2142,-1.5067,"LINESTRING (-0.7463 51.768, -1.5067 48.2142)"
"1002","Ligueil","Hungerford",51.4144,-1.5146,47.0436,0.8197,"LINESTRING (-1.5146 51.4144, 0.8197 47.0436)"
"1003","Ligugé","Sonning",51.473,-0.911,46.5189,0.3306,"LINESTRING (-0.911 51.473, 0.3306 46.5189)"
"1004","Lille","City of Leeds",53.7997,-1.5492,50.6278,3.0583,"LINESTRING (-1.5492 53.7997, 3.0583 50.6278)"
"1005","Limburg an der Lahn","Lichfield",52.6835,-1.8265,50.3833,8.0667,"LINESTRING (-1.8265 52.6835, 8.0667 50.3833)"
"1007","Lindlar","Shaftesbury",51.0059,-2.1969,51.0167,7.3833,"LINESTRING (-2.1969 51.0059, 7.3833 51.0167)"
"1009","Linkebeek","Kenton, Devon",50.64,-3.47,50.7667,4.3333,"LINESTRING (-3.47 50.64, 4.3333 50.7667)"
"1010","Lisieux","Taunton",51.019,-3.1,49.15,0.23,"LINESTRING (-3.1 51.019, 0.23 49.15)"
"1011","Livarot","South Molton",51.02,-3.83,49.0075,0.1533,"LINESTRING (-3.83 51.02, 0.1533 49.0075)"
"1014","Ljubljana","Nottingham",52.95,-1.1333,46.0556,14.5083,"LINESTRING (-1.1333 52.95, 14.5083 46.0556)"
"1016","Locminé","Pontardawe",51.7203,-3.8534,47.8875,-2.8344,"LINESTRING (-3.8534 51.7203, -2.8344 47.8875)"
"1017","Loctudy","Fishguard",51.9982,-4.9804,47.8344,-4.1681,"LINESTRING (-4.9804 51.9982, -4.1681 47.8344)"
"1018","Lonsee","Kingskerswell",50.496,-3.5722,48.5433,9.9214,"LINESTRING (-3.5722 50.496, 9.9214 48.5433)"
"1019","Los Altos, California","Rustington",50.8102,-0.5052,37.3681,-122.0975,"LINESTRING (-0.5052 50.8102, -122.0975 37.3681)"
"1020","Los Angeles","Manchester",53.4667,-2.2333,34.05,-118.25,"LINESTRING (-2.2333 53.4667, -118.25 34.05)"
"1021","Louisville, Kentucky","City of Leeds",53.7997,-1.5492,38.25,-85.7667,"LINESTRING (-1.5492 53.7997, -85.7667 38.25)"
"1022","Louveciennes","Aldenham",51.6723,-0.3546,48.8608,2.1172,"LINESTRING (-0.3546 51.6723, 2.1172 48.8608)"
"1023","Louviers","Weymouth, Dorset",50.613,-2.457,49.22,1.17,"LINESTRING (-2.457 50.613, 1.17 49.22)"
"1024","Louvigny, Calvados","Feniton",50.7866,-3.2826,49.1586,-0.3908,"LINESTRING (-3.2826 50.7866, -0.3908 49.1586)"
"1028","Lucerne","Bournemouth",50.72,-1.88,47.05,8.3,"LINESTRING (-1.88 50.72, 8.3 47.05)"
"1030","Lüdenscheid","Brighouse",53.707,-1.794,51.2167,7.6333,"LINESTRING (-1.794 53.707, 7.6333 51.2167)"
"1031","Ludlow","Narberth, Pembrokeshire",51.7989,-4.7423,52.368,-2.718,"LINESTRING (-4.7423 51.7989, -2.718 52.368)"
"1035","Ludwigshafen","London Borough of Havering",51.55,0.2167,49.4811,8.4353,"LINESTRING (0.2167 51.55, 8.4353 49.4811)"
"1036","Luhansk","Cardiff",51.4833,-3.1833,48.5667,39.3,"LINESTRING (-3.1833 51.4833, 39.3 48.5667)"
"1037","Lüneburg","Scunthorpe",53.5809,-0.6502,53.2525,10.4144,"LINESTRING (-0.6502 53.5809, 10.4144 53.2525)"
"1039","Luxembourg (city)","London Borough of Camden",51.5333,-0.1667,49.6117,6.13,"LINESTRING (-0.1667 51.5333, 6.13 49.6117)"
"1042","Lviv","Rochdale",53.6136,-2.161,49.85,24.0167,"LINESTRING (-2.161 53.6136, 24.0167 49.85)"
"1043","Lyon","Birmingham",52.4831,-1.8936,45.76,4.84,"LINESTRING (-1.8936 52.4831, 4.84 45.76)"
"1044","Mably, Loire","Wantage",51.589,-1.427,46.0867,4.0653,"LINESTRING (-1.427 51.589, 4.0653 46.0867)"
"1045","Machecoul","Shifnal",52.665,-2.373,46.9939,-1.8217,"LINESTRING (-2.373 52.665, -1.8217 46.9939)"
"1046","Machu Picchu","Haworth",53.83,-1.96,-13.1633,-72.5456,"LINESTRING (-1.96 53.83, -72.5456 -13.1633)"
"1049","Mainz","Watford",51.655,-0.3957,50,8.2667,"LINESTRING (-0.3957 51.655, 8.2667 50)"
"1060","Maizuru, Kyoto","Portsmouth",50.8167,-1.0833,35.4667,135.3833,"LINESTRING (-1.0833 50.8167, 135.3833 35.4667)"
"1061","Malaunay","Sandy, Bedfordshire",52.131,-0.297,49.5269,1.0411,"LINESTRING (-0.297 52.131, 1.0411 49.5269)"
"1062","Malguénac","St Neot, Cornwall",50.482,-4.559,48.0814,-3.0608,"LINESTRING (-4.559 50.482, -3.0608 48.0814)"
"1063","Malmö","Newcastle upon Tyne",54.9667,-1.6,55.6058,13.0358,"LINESTRING (-1.6 54.9667, 13.0358 55.6058)"
"1065","Mamers","Market Rasen",53.3871,-0.3355,48.3517,0.3678,"LINESTRING (-0.3355 53.3871, 0.3678 48.3517)"
"1066","Manéglise","Swanmore",50.9423,-1.1794,49.5671,0.2549,"LINESTRING (-1.1794 50.9423, 0.2549 49.5671)"
"1067","Mansfield, Massachusetts","Mansfield",53.1435,-1.1963,42.0333,-71.2194,"LINESTRING (-1.1963 53.1435, -71.2194 42.0333)"
"1068","Mansfield, Ohio","Mansfield",53.1435,-1.1963,40.75,-82.5167,"LINESTRING (-1.1963 53.1435, -82.5167 40.75)"
"1070","Manzini, Swaziland","Keighley",53.867,-1.911,-26.4833,31.3667,"LINESTRING (-1.911 53.867, 31.3667 -26.4833)"
"1071","Marburg","Northampton",52.2372,-0.896,50.81,8.7708,"LINESTRING (-0.896 52.2372, 8.7708 50.81)"
"1074","Maribor","Royal Borough of Greenwich",51.45,0.05,46.55,15.65,"LINESTRING (0.05 51.45, 15.65 46.55)"
"1075","Marignane","Hatfield, Hertfordshire",51.762,-0.228,43.4217,5.2342,"LINESTRING (-0.228 51.762, 5.2342 43.4217)"
"1078","Maromme","Oadby and Wigston",52.592,-1.095,49.4825,1.0428,"LINESTRING (-1.095 52.592, 1.0428 49.4825)"
"1081","Marsa, Malta","Bridgwater",51.128,-2.993,35.8833,14.4947,"LINESTRING (-2.993 51.128, 14.4947 35.8833)"
"1082","Marsaskala","Sherborne",50.9469,-2.5171,35.8625,14.5675,"LINESTRING (-2.5171 50.9469, 14.5675 35.8625)"
"1086","Marvejols","Cockermouth",54.6613,-3.362,44.5542,3.2908,"LINESTRING (-3.362 54.6613, 3.2908 44.5542)"
"1088","Masaya","Leicester",52.6333,-1.1333,11.9667,-86.1,"LINESTRING (-1.1333 52.6333, -86.1 11.9667)"
"1089","Masvingo","Middlesbrough",54.5753,-1.2342,-20.0744,30.8328,"LINESTRING (-1.2342 54.5753, 30.8328 -20.0744)"
"1090","Matagalpa","London Borough of Lewisham",51.4167,-0.0333,12.9167,-85.9167,"LINESTRING (-0.0333 51.4167, -85.9167 12.9167)"
"1091","Mathieu, Calvados","Burrator",50.4833,-4.0333,49.2558,-0.3719,"LINESTRING (-4.0333 50.4833, -0.3719 49.2558)"
"1092","Maurecourt","Brundall",52.6244,1.4337,48.9981,2.0628,"LINESTRING (1.4337 52.6244, 2.0628 48.9981)"
"1094","Mayen","Godalming",51.18,-0.61,50.33,7.33,"LINESTRING (-0.61 51.18, 7.33 50.33)"
"1095","Mayen","Godalming",51.18,-0.61,50.33,7.2167,"LINESTRING (-0.61 51.18, 7.2167 50.33)"
"1096","Mayen","Godalming",51.18,-0.61,50.3333,7.33,"LINESTRING (-0.61 51.18, 7.33 50.3333)"
"1097","Mayen","Godalming",51.18,-0.61,50.3333,7.2167,"LINESTRING (-0.61 51.18, 7.2167 50.3333)"
"1099","Mayenne, Mayenne","Devizes",51.353,-1.994,48.312,-0.6183,"LINESTRING (-1.994 51.353, -0.6183 48.312)"
"1100","Meaux","Basildon",51.5761,0.4886,48.9603,2.8883,"LINESTRING (0.4886 51.5761, 2.8883 48.9603)"
"1102","Meaux","Reading, Berkshire",51.4542,-0.9731,48.9603,2.8883,"LINESTRING (-0.9731 51.4542, 2.8883 48.9603)"
"1108","Medvode","St Ives, Cambridgeshire",52.3344,-0.0761,46.1333,14.4333,"LINESTRING (-0.0761 52.3344, 14.4333 46.1333)"
"1109","Meerssen","Sherborne",50.9469,-2.5171,50.8833,5.75,"LINESTRING (-2.5171 50.9469, 5.75 50.8833)"
"1113","Melsungen","Evesham",52.09,-1.95,51.1333,9.55,"LINESTRING (-1.95 52.09, 9.55 51.1333)"
"1114","Melun","Spelthorne",51.4333,-0.5,48.5406,2.66,"LINESTRING (-0.5 51.4333, 2.66 48.5406)"
"1115","Mériel","Llanwrtyd Wells",52.1054,-3.6411,49.08,2.2058,"LINESTRING (-3.6411 52.1054, 2.2058 49.08)"
"1120","Meudon","Rushmoor",51.2775,-0.7715,48.8075,2.2403,"LINESTRING (-0.7715 51.2775, 2.2403 48.8075)"
"1121","Meylan","Didcot",51.606,-1.241,45.2092,5.78,"LINESTRING (-1.241 51.606, 5.78 45.2092)"
"1123","Middelkerke","Clevedon",51.438,-2.854,51.1833,2.8167,"LINESTRING (-2.854 51.438, 2.8167 51.1833)"
"1125","Midland, Ohio","Hinckley",52.5413,-1.3725,39.3061,-83.9094,"LINESTRING (-1.3725 52.5413, -83.9094 39.3061)"
"1126","Milan","Birmingham",52.4831,-1.8936,45.2838,9.1053,"LINESTRING (-1.8936 52.4831, 9.1053 45.2838)"
"1127","Milizac","Yealmpton",50.342,-3.997,48.4683,-4.5667,"LINESTRING (-3.997 50.342, -4.5667 48.4683)"
"1130","Mineral Point, Wisconsin","Redruth",50.233,-5.224,42.8603,-90.1831,"LINESTRING (-5.224 50.233, -90.1831 42.8603)"
"1131","Minsk","Nottingham",52.95,-1.1333,53.9,27.5667,"LINESTRING (-1.1333 52.95, 27.5667 53.9)"
"1133","Mitterteich","Cheddleton",53.064,-2.043,49.9333,12.2333,"LINESTRING (-2.043 53.064, 12.2333 49.9333)"
"1134","Mochudi","London Borough of Camden",51.5333,-0.1667,-24.4167,26.15,"LINESTRING (-0.1667 51.5333, 26.15 -24.4167)"
"1135","Moers","Metropolitan Borough of Knowsley",53.439,-2.851,51.4592,6.6197,"LINESTRING (-2.851 53.439, 6.6197 51.4592)"
"1136","Mölndal","Whitstable",51.3607,1.0257,57.7,11.9667,"LINESTRING (1.0257 51.3607, 11.9667 57.7)"
"1139","Mönchengladbach","Bradford",53.8,-1.7521,51.2,6.4333,"LINESTRING (-1.7521 53.8, 6.4333 51.2)"
"1157","Mondeville, Calvados","Northam, Devon",51.0393,-4.2104,49.1747,-0.3197,"LINESTRING (-4.2104 51.0393, -0.3197 49.1747)"
"1159","Montabaur","Brackley",52.032,-1.147,50.4375,7.8258,"LINESTRING (-1.147 52.032, 7.8258 50.4375)"
"1160","Montargis","Crowborough",51.06,0.16,47.9978,2.7333,"LINESTRING (0.16 51.06, 2.7333 47.9978)"
"1164","Montclair, New Jersey","London Borough of Barnet",51.6254,-0.1527,40.8244,-74.2124,"LINESTRING (-0.1527 51.6254, -74.2124 40.8244)"
"1165","Montecchio Maggiore","Alton, Hampshire",51.1498,-0.9769,45.5,11.4167,"LINESTRING (-0.9769 51.1498, 11.4167 45.5)"
"1167","Monterubbiano","Winster",53.1419,-1.6399,43.0833,13.7167,"LINESTRING (-1.6399 53.1419, 13.7167 43.0833)"
"1170","Montmirail, Marne","Hassocks",50.9233,-0.1509,48.8702,3.5371,"LINESTRING (-0.1509 50.9233, 3.5371 48.8702)"
"1173","Morbegno","Llanberis",53.1193,-4.1311,46.1333,9.5667,"LINESTRING (-4.1311 53.1193, 9.5667 46.1333)"
"1174","Morehead, Kentucky","Ballymena",54.86,-6.28,38.1836,-83.4411,"LINESTRING (-6.28 54.86, -83.4411 38.1836)"
"1175","Morlaix","Truro",50.26,-5.051,48.5783,-3.8267,"LINESTRING (-5.051 50.26, -3.8267 48.5783)"
"1176","Morphou","London Borough of Barnet",51.6254,-0.1527,35.1981,32.9939,"LINESTRING (-0.1527 51.6254, 32.9939 35.1981)"
"1179","Mosbach","Lymington",50.75,-1.55,49.3522,9.1467,"LINESTRING (-1.55 50.75, 9.1467 49.3522)"
"1180","Moscow","Woodhall Spa",53.1515,-0.2183,55.75,37.6167,"LINESTRING (-0.2183 53.1515, 37.6167 55.75)"
"1183","Muids","Norton, Suffolk",52.25,0.867,49.2231,1.2914,"LINESTRING (0.867 52.25, 1.2914 49.2231)"
"1185","Mulsanne","Nettleham",53.2662,-0.4877,47.9081,0.2481,"LINESTRING (-0.4877 53.2662, 0.2481 47.9081)"
"1186","Mumbai","City of London",51.5155,-0.0922,18.975,72.8258,"LINESTRING (-0.0922 51.5155, 72.8258 18.975)"
"1187","Münster","York",53.9583,-1.0803,51.9667,7.6333,"LINESTRING (-1.0803 53.9583, 7.6333 51.9667)"
"1188","Muscat, Oman","Portsmouth",50.8167,-1.0833,23.61,58.54,"LINESTRING (-1.0833 50.8167, 58.54 23.61)"
"1189","Muskegon, Michigan","Hartlepool",54.69,-1.21,43.2342,-86.2483,"LINESTRING (-1.21 54.69, -86.2483 43.2342)"
"1190","Mussidan","Woodbridge, Suffolk",52.0935,1.3179,45.0358,0.3664,"LINESTRING (1.3179 52.0935, 0.3664 45.0358)"
"1191","Mutare","Tameside",53.49,-2.0942,-18.9667,32.6333,"LINESTRING (-2.0942 53.49, 32.6333 -18.9667)"
"1192","Muzillac","Sheringham",52.94,1.213,47.5539,-2.4806,"LINESTRING (1.213 52.94, -2.4806 47.5539)"
"1193","Myrtle Beach, South Carolina","Keighley",53.867,-1.911,33.7167,-78.8833,"LINESTRING (-1.911 53.867, -78.8833 33.7167)"
"1194","Naas","St Davids",51.882,-5.269,53.217,-6.663,"LINESTRING (-5.269 51.882, -6.663 53.217)"
"1196","Náchod","Warrington",53.3917,-2.5972,50.4169,16.1631,"LINESTRING (-2.5972 53.3917, 16.1631 50.4169)"
"1202","Nancy, France","Newcastle upon Tyne",54.9667,-1.6,48.6936,6.1846,"LINESTRING (-1.6 54.9667, 6.1846 48.6936)"
"1203","Nanterre","Watford",51.655,-0.3957,48.8988,2.1969,"LINESTRING (-0.3957 51.655, 2.1969 48.8988)"
"1204","Nantes","Cardiff",51.4833,-3.1833,47.2181,-1.5528,"LINESTRING (-3.1833 51.4833, -1.5528 47.2181)"
"1205","Narbonne","City of Salford",53.5097,-2.3344,43.1836,3.0042,"LINESTRING (-2.3344 53.5097, 3.0042 43.1836)"
"1206","Nashville, Tennessee","Belfast",54.597,-5.93,36.1667,-86.7833,"LINESTRING (-5.93 54.597, -86.7833 36.1667)"
"1207","Nauort","Oundle",52.48,-0.472,50.4667,7.6253,"LINESTRING (-0.472 52.48, 7.6253 50.4667)"
"1208","Nesles","Isleham",52.33,0.4,50.6281,1.6572,"LINESTRING (0.4 52.33, 1.6572 50.6281)"
"1209","Netanya","Bournemouth",50.72,-1.88,32.3333,34.85,"LINESTRING (-1.88 50.72, 34.85 32.3333)"
"1210","Nettetal","Fenland",52.575,0.049,51.3167,6.2833,"LINESTRING (0.049 52.575, 6.2833 51.3167)"
"1211","Neudrossenfeld","Marchington",52.875,-1.803,50.0167,11.5,"LINESTRING (-1.803 52.875, 11.5 50.0167)"
"1215","Neukölln","London Borough of Hammersmith and Fulham",51.5,-0.25,52.4833,13.45,"LINESTRING (-0.25 51.5, 13.45 52.4833)"
"1216","Neumünster","Gravesham",51.409,0.399,54.0714,9.99,"LINESTRING (0.399 51.409, 9.99 54.0714)"
"1219","Neuvic, Dordogne","Whitchurch, Hampshire",51.2299,-1.3393,45.1014,0.4697,"LINESTRING (-1.3393 51.2299, 0.4697 45.1014)"
"1221","Neuwied","London Borough of Bromley",51.3333,0.0833,50.4286,7.4614,"LINESTRING (0.0833 51.3333, 7.4614 50.4286)"
"1222","Nevada City, California","Penzance",50.119,-5.537,39.2614,-121.0186,"LINESTRING (-5.537 50.119, -121.0186 39.2614)"
"1223","Nevers","St Albans",51.755,-0.336,46.9933,3.1572,"LINESTRING (-0.336 51.755, 3.1572 46.9933)"
"1224","Newcastle, New South Wales","Newcastle upon Tyne",54.9667,-1.6,-32.9167,151.75,"LINESTRING (-1.6 54.9667, 151.75 -32.9167)"
"1226","Newmarket, Suffolk","Gowerton",51.648,-4.043,52.2459,0.4105,"LINESTRING (-4.043 51.648, 0.4105 52.2459)"
"1229","Newmarket, Suffolk","Welshpool",52.6597,-3.1473,52.2459,0.4105,"LINESTRING (-3.1473 52.6597, 0.4105 52.2459)"
"1298","New Orleans","Liverpool",53.4,-3,29.9667,-90.05,"LINESTRING (-3 53.4, -90.05 29.9667)"
"1299","New York City","Woodhall Spa",53.1515,-0.2183,40.7127,-74.0059,"LINESTRING (-0.2183 53.1515, -74.0059 40.7127)"
"1300","Nidda, Hesse","Cromer",52.931,1.302,50.4128,9.0092,"LINESTRING (1.302 52.931, 9.0092 50.4128)"
"1301","Nideggen","Thatcham",51.405,-1.2645,50.7,6.4833,"LINESTRING (-1.2645 51.405, 6.4833 50.7)"
"1302","Niederanven","Sherborne",50.9469,-2.5171,49.65,6.2667,"LINESTRING (-2.5171 50.9469, 6.2667 49.65)"
"1306","Niigata, Niigata","Kingston upon Hull",53.7443,-0.3325,37.9161,139.0364,"LINESTRING (-0.3325 53.7443, 139.0364 37.9161)"
"1307","Nîmes","Preston, Lancashire",53.759,-2.699,43.838,4.361,"LINESTRING (-2.699 53.759, 4.361 43.838)"
"1308","Ningbo","Nottingham",52.95,-1.1333,29.8667,121.55,"LINESTRING (-1.1333 52.95, 121.55 29.8667)"
"1309","Niort","Wellingborough",52.2939,-0.6964,46.3258,-0.4606,"LINESTRING (-0.6964 52.2939, -0.4606 46.3258)"
"1312","Nonancourt","Earls Colne",51.928,0.702,48.7772,1.1942,"LINESTRING (0.702 51.928, 1.1942 48.7772)"
"1313","Nonant","Bratton Clovelly",50.69,-4.18,49.2431,-0.6375,"LINESTRING (-4.18 50.69, -0.6375 49.2431)"
"1314","Nordenham","Peterlee",54.76,-1.33,53.5,8.4667,"LINESTRING (-1.33 54.76, 8.4667 53.5)"
"1315","Norden, Lower Saxony","Bradford on Avon",51.3469,-2.251,53.5967,7.2056,"LINESTRING (-2.251 51.3469, 7.2056 53.5967)"
"1316","Norderstedt","Oadby and Wigston",52.592,-1.095,53.7064,10.0103,"LINESTRING (-1.095 52.592, 10.0103 53.7064)"
"1319","Novi Sad","Norwich",52.6283,1.2967,45.25,19.85,"LINESTRING (1.2967 52.6283, 19.85 45.25)"
"1320","Novorossiysk","Plymouth",50.3714,-4.1422,44.7167,37.75,"LINESTRING (-4.1422 50.3714, 37.75 44.7167)"
"1326","Nukuʻalofa","Whitby",54.4858,-0.6206,-21.1333,-175.2,"LINESTRING (-0.6206 54.4858, -175.2 -21.1333)"
"1327","Nürtingen","Pontypridd",51.602,-3.342,48.6333,9.3333,"LINESTRING (-3.342 51.602, 9.3333 48.6333)"
"1328","Nyíregyháza","St Albans",51.755,-0.336,47.9531,21.7271,"LINESTRING (-0.336 51.755, 21.7271 47.9531)"
"1329","Oamaru","Devizes",51.353,-1.994,-45.0842,170.9806,"LINESTRING (-1.994 51.353, 170.9806 -45.0842)"
"1330","Oberhausen","Middlesbrough",54.5753,-1.2342,51.55,6.85,"LINESTRING (-1.2342 54.5753, 6.85 51.55)"
"1331","Oberkirch (Baden)","Haverfordwest",51.8007,-4.9674,48.5333,8.0833,"LINESTRING (-4.9674 51.8007, 8.0833 48.5333)"
"1333","Ochsenfurt","Wimborne Minster",50.804,-1.978,49.65,10.0667,"LINESTRING (-1.978 50.804, 10.0667 49.65)"
"1334","Ocotal","Swindon",51.56,-1.78,13.6333,-86.4833,"LINESTRING (-1.78 51.56, -86.4833 13.6333)"
"1335","Odense","St Albans",51.755,-0.336,55.3958,10.3886,"LINESTRING (-0.336 51.755, 10.3886 55.3958)"
"1336","Odessa","Liverpool",53.4,-3,46.4667,30.7333,"LINESTRING (-3 53.4, 30.7333 46.4667)"
"1338","Offenburg","Borehamwood",51.6578,-0.2723,48.4667,7.9333,"LINESTRING (-0.2723 51.6578, 7.9333 48.4667)"
"1339","Offranville","Thurmaston",52.6753,-1.0993,49.8717,1.0492,"LINESTRING (-1.0993 52.6753, 1.0492 49.8717)"
"1340","Oignies","Buxton",53.259,-1.911,50.47,2.9944,"LINESTRING (-1.911 53.259, 2.9944 50.47)"
"1341","Oissel","Milford Haven",51.7142,-5.0427,49.3425,1.0922,"LINESTRING (-5.0427 51.7142, 1.0922 49.3425)"
"1342","Olivet, Loiret","Fakenham",52.8356,0.851,47.8639,1.9006,"LINESTRING (0.851 52.8356, 1.9006 47.8639)"
"1343","Ollainville, Essonne","Tutbury",52.854,-1.686,48.5916,2.2163,"LINESTRING (-1.686 52.854, 2.2163 48.5916)"
"1344","Omerville","Llangedwyn",52.8083,-3.2105,49.1414,1.7197,"LINESTRING (-3.2105 52.8083, 1.7197 49.1414)"
"1345","Onzain","Darley Dale",53.166,-1.596,47.5003,1.175,"LINESTRING (-1.596 53.166, 1.175 47.5003)"
"1346","Orbec","Kingsteignton",50.5458,-3.5962,49.0222,0.4075,"LINESTRING (-3.5962 50.5458, 0.4075 49.0222)"
"1347","Orgerus","Washingborough",53.2233,-0.4744,48.84,1.7014,"LINESTRING (-0.4744 53.2233, 1.7014 48.84)"
"1348","Orléat","St Davids",51.882,-5.269,45.861,3.421,"LINESTRING (-5.269 51.882, 3.421 45.861)"
"1350","Orsay","East Cambridgeshire",52.387,0.294,48.6993,2.1875,"LINESTRING (0.294 52.387, 2.1875 48.6993)"
"1351","Osmanville","Combeinteignhead",50.5333,-3.55,49.3294,-1.08,"LINESTRING (-3.55 50.5333, -1.08 49.3294)"
"1353","Osterode am Harz","Scarborough, North Yorkshire",54.2773,-0.4017,51.7286,10.2522,"LINESTRING (-0.4017 54.2773, 10.2522 51.7286)"
"1354","Ostrava","Coventry",52.4081,-1.5106,49.8356,18.2925,"LINESTRING (-1.5106 52.4081, 18.2925 49.8356)"
"1355","Oststeinbek","Caddington",51.8631,-0.4568,53.5442,10.1664,"LINESTRING (-0.4568 51.8631, 10.1664 53.5442)"
"1356","Otari, Nagano","Ottery St Mary",50.752,-3.279,36.7833,137.9167,"LINESTRING (-3.279 50.752, 137.9167 36.7833)"
"1357","Otterndorf","Sheringham",52.94,1.213,53.8,8.9,"LINESTRING (1.213 52.94, 8.9 53.8)"
"1358","Oudenaarde","Hastings",50.8563,0.5729,50.85,3.6,"LINESTRING (0.5729 50.8563, 3.6 50.85)"
"1359","Ouistreham","Angmering",50.8288,-0.4846,49.28,-0.26,"LINESTRING (-0.4846 50.8288, -0.26 49.28)"
"1360","Oujda","Trowbridge",51.317,-2.217,34.6867,-1.9114,"LINESTRING (-2.217 51.317, -1.9114 34.6867)"
"1362","Oxelösund","Sherborne",50.9469,-2.5171,58.6667,17.1167,"LINESTRING (-2.5171 50.9469, 17.1167 58.6667)"
"1366","Paderborn","Bolton",53.5785,-2.4299,51.7167,8.7667,"LINESTRING (-2.4299 53.5785, 8.7667 51.7167)"
"1367","Paimpol","Romsey",50.989,-1.4966,48.7786,-3.0453,"LINESTRING (-1.4966 50.989, -3.0453 48.7786)"
"1371","Paris","Woodhall Spa",53.1515,-0.2183,48.8567,2.3508,"LINESTRING (-0.2183 53.1515, 2.3508 48.8567)"
"1372","Parkes, New South Wales","Coventry",52.4081,-1.5106,-33.1333,148.1667,"LINESTRING (-1.5106 52.4081, 148.1667 -33.1333)"
"1373","Pawtucket, Rhode Island","Belper",53.029,-1.475,41.8756,-71.3761,"LINESTRING (-1.475 53.029, -71.3761 41.8756)"
"1374","Peine","Heywood, Greater Manchester",53.59,-2.219,52.3203,10.2336,"LINESTRING (-2.219 53.59, 10.2336 52.3203)"
"1375","Pembroke, Malta","Pembroke, Pembrokeshire",51.676,-4.9158,35.9264,14.4808,"LINESTRING (-4.9158 51.676, 14.4808 35.9264)"
"1376","Penrith, New South Wales","Penrith, Cumbria",54.6648,-2.7548,-33.758,150.7054,"LINESTRING (-2.7548 54.6648, 150.7054 -33.758)"
"1377","Perm","Oxford",51.7519,-1.2578,58,56.3167,"LINESTRING (-1.2578 51.7519, 56.3167 58)"
"1378","Péronne, Somme","Blackburn",53.7449,-2.4769,49.9293,2.935,"LINESTRING (-2.4769 53.7449, 2.935 49.9293)"
"1381","Perstorp","Newton Aycliffe",54.62,-1.58,56.1333,13.3833,"LINESTRING (-1.58 54.62, 13.3833 56.1333)"
"1382","Pesaro","Watford",51.655,-0.3957,43.9167,12.9,"LINESTRING (-0.3957 51.655, 12.9 43.9167)"
"1384","Pézenas","Market Drayton",52.9044,-2.4848,43.4606,3.4236,"LINESTRING (-2.4848 52.9044, 3.4236 43.4606)"
"1385","Pfungstadt","Retford",53.3169,-0.9408,49.8056,8.6044,"LINESTRING (-0.9408 53.3169, 8.6044 49.8056)"
"1388","Plaisir, Yvelines","Lowestoft",52.48,1.75,48.8183,1.9472,"LINESTRING (1.75 52.48, 1.9472 48.8183)"
"1389","Plédran","Bembridge",50.6897,-1.0889,48.4467,-2.7447,"LINESTRING (-1.0889 50.6897, -2.7447 48.4467)"
"1394","Ploërdut","Stithians",50.187,-5.175,48.0886,-3.2872,"LINESTRING (-5.175 50.187, -3.2872 48.0886)"
"1395","Ploërmel","Gorseinon",51.66,-4.03,47.9325,-2.3961,"LINESTRING (-4.03 51.66, -2.3961 47.9325)"
"1397","Plouay","Pershore",52.114,-2.08,47.9156,-3.3339,"LINESTRING (-2.08 52.114, -3.3339 47.9156)"
"1398","Ploudalmézeau","Cullompton",50.855,-3.393,48.5411,-4.6561,"LINESTRING (-3.393 50.855, -4.6561 48.5411)"
"1399","Plouescat","Braunton",51.11,-4.162,48.6578,-4.1733,"LINESTRING (-4.162 51.11, -4.1733 48.6578)"
"1401","Plouguerneau","St Germans, Cornwall",50.396,-4.31,48.6078,-4.5042,"LINESTRING (-4.31 50.396, -4.5042 48.6078)"
"1402","Plouguin","Newport, Pembrokeshire",52.0198,-4.8361,48.5253,-4.6,"LINESTRING (-4.8361 52.0198, -4.6 48.5253)"
"1403","Plouider","Millbrook, Cornwall",50.348,-4.217,48.6089,-4.2967,"LINESTRING (-4.217 50.348, -4.2967 48.6089)"
